"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"Pka-C1",5398.80692240942,3625.67088737627,3193.30081754899,4021.09684756907,3899.85633700696,3522.59477397358,2081.42117127129,2107.41031932021,3037.18498269502,2713.41497659143
"Pka-C2",0,1.40205562642892,0,0.542817631619855,0,0.953481163890317,0.714185963235387,0,0.562713199324346,0
"CecA1",0.877432407627821,0.336599733829244,0.984750402027242,2.37654423832995,2.96877242497447,14.4130610167059,2.97395205721773,0.808413590908224,0,0.84285736590475
"CecA2",0,0.238052865159372,0,0,0,7.12782403508494,1.2958546781284,0,0,0
"CecB",0,0,0,0.690053056500372,0.343567766351882,3.57388984004045,1.74500614467904,0,0,0
"CecC",4.59749240328137,0.336599733829244,0.247068768824502,6.25365204229563,1.00671605710828,8.22999819862143,6.4639643465758,0.181114228078339,0.281356599662173,0.2973509684547
"Cec-Psi1",0,0,0,0,0,0,0,0,0,0
"Cec2",0,0,0.121772047776869,0,0,0,0,0.181114228078339,0,0
"Cp190",1847.72156246375,2023.40579348723,1912.99994702041,1468.33297382442,1643.2440412968,1799.2046341238,1736.11018366402,1667.55026186853,1693.60011831019,1283.98830945228
"Cf2",1832.71876273073,1173.85467777999,1228.20543972792,1033.51624929137,1151.12017438517,1070.23407681647,832.294370099619,991.849574669636,973.447194774735,943.40506821211
"salr",0,0.476105730318743,1.54572924312434,0.690053056500372,0.343567766351882,0,0.238061987745129,0.209099787609962,0,3.37539700602022
"cg",2065.87684027444,1804.98406134168,1812.05079652171,1591.73182894386,1500.00479338949,1562.78446841849,1491.44225678979,1545.9148931175,1455.29986738246,1313.39989030576
"Cg25C",147.20894363818,301.410470650957,82.1445773164892,206.531471234502,65.8295737031052,605.280870050356,310.531507373585,314.849884442289,54.7127863032795,122.805223884094
"Cha",2.27927275254104,4.8237096558333,8.88305006321304,7.11028661933319,4.74705128869103,14.6122953867787,8.31564533394906,16.2765059252059,7.25906921215176,10.3898103670714
"chif",1010.0907797112,1009.11065601553,987.505125950348,778.367330234132,836.803668164629,923.642979044778,1063.4892404475,920.43724484536,1063.71225003246,667.252716694894
"chic",9822.90941426393,12262.1684106645,15031.9091939516,14163.05485654,17289.4922720967,14300.4385315568,15745.2793352455,17980.2362819059,14843.113179487,19500.0098377446
